4cl Film📚|📚https://4clfilm.podigee.io/feed/mp3
Cap vs Ap - Der Filmpodcast📚|📚https://capvsap.podigee.io/feed/aac
CaroPod📚|📚https://CaroPod.podspot.de/rss
Cast vorbei ist auch daneben📚|📚http://castvorbei.com/feed/podcast
Celluleute Podcast📚|📚http://cdn.celluleute.de/celluleuterss/celluleute.rss
CentralPod📚|📚https://anchor.fm/s/9f708740/podcast/rss
Ceutas📚|📚https://anchor.fm/s/2fff0f80/podcast/rss
Charakterneurosen📚|📚https://charakterneurosen.podcaster.de/cn.rss
Château Picard – ein Star Trek Podcast📚|📚https://chateau-picard.podigee.io/feed/mp3
Check-in: Das Reisemagazin📚|📚https://rss.dw.com/xml/podcast_de_check-in
Chevron10 - Der Stargate-Podcast📚|📚https://www.chevron10.de/feed/mp3/
Chicken Talkyaki📚|📚https://anchor.fm/s/24d1814c/podcast/rss
Chris Bakers VLOG📚|📚https://chrisbaker.podspot.de/rss
Christian Alvart und Ken Duken von Banklady: Triff die Filmemacher📚|📚https://applehosted.podcasts.apple.com/eaas/de/filmmaker/banklady/banklady.xml
Cine Entertainment Talk - Film-Podcast📚|📚https://feeds.feedburner.com/Http/wurfipodspotde
Cine:viel Podcast📚|📚https://anchor.fm/s/c2e5cc8/podcast/rss
Cineasthmatiker Podcast📚|📚http://cineasthmatiker.com/feed/mp3
Cinebrüder📚|📚https://cinebrueder.podigee.io/feed/mp3
CineCast📚|📚http://cinecaster.de/feed/ccm4a
CineCouch (Podcast)📚|📚https://cinecouch.net/feed/mp3/
Cinelog📚|📚https://anchor.fm/s/c735508/podcast/rss
Cinema Chatter📚|📚https://feeds.soundcloud.com/users/soundcloud:users:66458499/sounds.rss
Cinema Newsflash📚|📚https://feeds.soundcloud.com/users/soundcloud:users:329320346/sounds.rss
Cinema Strikes Back📚|📚http://rss.nexx.cloud/QR93C1SJXZI0NRA
cinemaVOLANTE📚|📚https://anchor.fm/s/1b60bd80/podcast/rss
Cinemotions - Der Kinopodcast📚|📚https://anchor.fm/s/909de00/podcast/rss
Cinemotions - Der Kinopodcast📚|📚https://feeds.soundcloud.com/users/soundcloud:users:476681958/sounds.rss
Cineplex - Wir hören Kino📚|📚https://qdyr4r.podcaster.de/diekinomacher.rss
Cinepod📚|📚https://filmnetz.podspot.de/rss
CineQuatsch Podcast📚|📚http://feeds.feedburner.com/CinequatschPodcast
CINESPASTEN.📚|📚https://anchor.fm/s/347c66c/podcast/rss
Cliffhanger📚|📚https://anchor.fm/s/1d954378/podcast/rss
Cliffhangerz Podcast📚|📚https://feeds.soundcloud.com/users/soundcloud:users:36883933/sounds.rss
Clip Clap Club📚|📚https://anchor.fm/s/12785138/podcast/rss
Close Up. Ein Podcast übers Filmemachen📚|📚https://feeds.simplecast.com/IdpgE_Ze
CLUB Der Blauen Bänder. Staffel 1📚|📚https://anchor.fm/s/162a3d14/podcast/rss
Coffee and Spliffs📚|📚https://anchor.fm/s/2024037c/podcast/rss
Coming In: Triff die Filmemacher📚|📚https://applehosted.podcasts.apple.com/eaas/de/filmmaker/coming_in/coming_in.xml
Coming Soon📚|📚https://cdn.stationista.com/feeds/coming-soon
Communicator - Der ""Star Trek""-Podcast des TrekZone Network📚|📚https://www.trekzone.de/feed/mp3/
Communicator - Der Star Trek Podcast des TrekZone Network📚|📚https://www.trekzone.de/index.php/feed/mp3/
Conscious Thinking - Entfalten und bewusst sein📚|📚https://1cnrmpr.podcaster.de/gorancem.rss
Coopers Kaffee📚|📚https://anchor.fm/s/b901b1c/podcast/rss
Coopers Kaffee📚|📚https://cooperskaffee.podcaster.de/cooperskaffee.rss
Couch Caster📚|📚https://podcasthelden.podspot.de/rss
Countdown: Das letzte Land📚|📚https://dasletzteland.de/podcast.xml
CPMLshow TALK📚|📚https://www.spreaker.com/show/4274237/episodes/feed
Crazy Beggars📚|📚https://feeds.soundcloud.com/users/soundcloud:users:264023681/sounds.rss
CreativeModCast📚|📚https://anchor.fm/s/108eea8/podcast/rss
Credits Podcast📚|📚https://credits-podcast.de/index.php/feed/m4a/
Creepcast📚|📚https://creepcast.de/rss/podcast
Cut - Vor und hinter der Kamera📚|📚https://anchor.fm/s/dfee70c/podcast/rss
Cuto Cuto📚|📚https://feeds.soundcloud.com/users/soundcloud:users:541476492/sounds.rss
CUTS - Der kritische Film-Podcast📚|📚https://cuts.podigee.io/feed/mp3
